order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
175.0,675.0,660.0,120.0,130.0,532.0,2016-02-01 08:00:00,13.0,3.0,17.75,3.55,7.75,2.0,2
686.0,500.0,37.0,370.0,688.0,206.0,2016-02-01 08:00:00,40.5,8.5,41.75,0.0,44.25,5.0,3
173.0,203.0,779.0,81.0,744.0,605.0,2016-02-01 08:00:00,10.0,0.0,44.0,0.0,5.75,0.0,2
660.0,120.0,419.0,615.0,175.0,675.0,2016-02-01 08:00:00,21.5,4.3,6.0,0.0,14.5,2.9,1
167.0,754.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,9.75,0.0,5.5,1.0,5.5,0.0,1
660.0,120.0,173.0,203.0,173.0,203.0,2016-02-01 08:00:00,4.75,0.0,8.0,2.0,9.25,2.0,3
556.0,288.0,175.0,675.0,618.0,407.0,2016-02-01 08:00:00,8.75,0.0,12.5,2.0,9.0,0.0,2
64.0,231.0,109.0,708.0,754.0,410.0,2016-02-01 08:00:00,5.75,0.0,18.5,0.0,6.0,0.0,2
173.0,203.0,18.0,610.0,18.0,610.0,2016-02-01 08:00:00,10.75,2.15,4.5,0.0,8.75,0.0,1
767.0,733.0,166.0,725.0,225.0,6.0,2016-02-01 08:00:00,6.75,0.0,20.0,0.0,27.0,5.4,3
411.0,545.0,294.0,113.0,411.0,545.0,2016-02-01 08:00:00,5.75,0.0,8.25,0.0,5.0,0.0,2
599.0,346.0,18.0,610.0,95.0,781.0,2016-02-01 08:00:00,7.0,0.0,6.0,0.0,3.25,0.65,1
395.0,408.0,695.0,366.0,167.0,754.0,2016-02-01 08:00:00,5.5,0.0,7.5,0.0,8.25,0.0,3
686.0,500.0,225.0,6.0,294.0,113.0,2016-02-01 08:00:00,7.5,1.0,3.25,0.0,8.25,0.0,1
686.0,500.0,454.0,453.0,686.0,500.0,2016-02-01 08:00:00,17.5,2.25,11.25,0.0,41.75,8.75,3
599.0,346.0,744.0,605.0,686.0,500.0,2016-02-01 08:00:00,50.25,0.0,6.5,2.0,15.75,3.15,1
225.0,6.0,18.0,610.0,599.0,346.0,2016-02-01 08:00:00,48.75,10.55,19.0,3.8,11.25,0.0,1
225.0,6.0,744.0,605.0,395.0,408.0,2016-02-01 08:00:00,45.5,5.0,4.25,2.0,6.75,0.0,1
411.0,545.0,411.0,545.0,599.0,346.0,2016-02-01 08:00:00,7.75,0.0,7.0,0.0,9.25,0.0,3
167.0,754.0,684.0,503.0,688.0,206.0,2016-02-01 08:00:00,8.75,0.0,13.25,0.0,6.0,0.0,2
109.0,708.0,218.0,437.0,660.0,120.0,2016-02-01 08:00:00,16.5,0.0,11.25,2.0,44.0,0.0,3
433.0,757.0,411.0,545.0,170.0,351.0,2016-02-01 08:00:00,32.0,7.0,5.25,0.0,7.25,2.0,1
